Variable,Estimate,Std.Error,t-value,P>|t|,2.5%,97.5%
Intercept,3381.8769320168194,,,,,
did,-7.619625584707581,,,,,
real_age,29.47512895181501,,,,,
C(year)[T.2016],1141.0159199096747,,,,,
C(year)[T.2018],1333.900442237471,,,,,
C(year)[T.2020],871.3417090781703,,,,,
