Variable,Estimate,Std.Error,t-value,P>|t|,2.5%,97.5%
Intercept,2840.1078470788125,,,,,
did,-6.488601907496258,,,,,
real_age,22.758975279516218,,,,,
C(year)[T.2016],847.6649330935069,,,,,
C(year)[T.2018],1085.3418714176498,,,,,
C(year)[T.2020],604.1056738347042,,,,,
